station,total,nLesbian,pLesbian,nHask,pHask,nFask,pFask,nHomo,pHomo,label,x,y,lengthmean
gaite,6,0.0,0.0,3.0,0.5,3.0,0.5,0.0,0.0,Gaîté,19.185,50.396,458.8333333333333
gallieni,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Gallieni,24.865,51.965,541.0
gambetta,22,0.0,0.0,6.0,0.2727272727272727,12.0,0.5454545454545454,4.0,0.18181818181818182,Gambetta,23.648,51.969,445.3636363636364
gare-dausterlitz,35,1.0,0.02857142857142857,12.0,0.34285714285714286,19.0,0.5428571428571428,3.0,0.08571428571428572,Gare d'Austerlitz,21.819,50.632,317.3142857142857
gare-de-lest,71,0.0,0.0,22.0,0.30985915492957744,46.0,0.647887323943662,3.0,0.04225352112676056,Gare de l'Est,21.331,52.644,524.0281690140845
gare-de-lyon,110,1.0,0.00909090909090909,21.0,0.19090909090909092,83.0,0.7545454545454545,5.0,0.045454545454545456,Gare de Lyon,22.194,50.752,489.1818181818182
gare-du-nord,86,1.0,0.011627906976744186,28.0,0.32558139534883723,48.0,0.5581395348837209,9.0,0.10465116279069768,Gare du Nord,21.123,52.871,449.4651162790698
garibaldi,3,0.0,0.0,0.0,0.0,2.0,0.6666666666666666,1.0,0.3333333333333333,Garibaldi,19.76,54.458,259.0
george-v,4,0.0,0.0,2.0,0.5,2.0,0.5,0.0,0.0,George V,17.876,52.39,620.5
glaciere,7,0.0,0.0,3.0,0.42857142857142855,4.0,0.5714285714285714,0.0,0.0,Glacière,20.447,49.941,396.14285714285717
grands-boulevards,10,0.0,0.0,2.0,0.2,7.0,0.7,1.0,0.1,Grands Boulevards,20.423,52.361,413.5
guy-moquet,12,0.0,0.0,3.0,0.25,6.0,0.5,3.0,0.25,Guy Môquet,19.489,53.653,449.3333333333333
haussmann-saint-lazare,10,0.0,0.0,3.0,0.3,7.0,0.7,0.0,0.0,Haussmann — Saint-Lazare,19.447,52.564,572.4
havre-caumartin,29,0.0,0.0,8.0,0.27586206896551724,14.0,0.4827586206896552,7.0,0.2413793103448276,Havre — Caumartin,19.537,52.486,399.7586206896552
hoche,3,0.0,0.0,2.0,0.6666666666666666,1.0,0.3333333333333333,0.0,0.0,Hoche,24.004,53.547,409.0
hotel-de-ville,30,0.0,0.0,9.0,0.3,19.0,0.6333333333333333,2.0,0.06666666666666667,Hôtel de Ville,20.93,51.519,494.8333333333333
iena,3,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,Iéna,17.477,51.959,363.6666666666667
invalides,35,0.0,0.0,5.0,0.14285714285714285,25.0,0.7142857142857143,5.0,0.14285714285714285,Invalides,18.705,51.783,387.85714285714283
